"category","matches","percentage","module","article","total_matches_article","module_total","total_words","prop_article","prop_module","matches_per_1000w"
"Deep uncertainty",1,50,"Uncertainty_Types","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",33,2,5918,3.03,50,0.17
"Epistemic",1,50,"Uncertainty_Types","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",33,2,5918,3.03,50,0.17
"Injectors",1,8.3,"Decision_Actors","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",33,12,5918,3.03,8.33,0.17
"Beneficiaries",5,41.7,"Decision_Actors","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",33,12,5918,15.15,41.67,0.84
"Affected",4,33.3,"Decision_Actors","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",33,12,5918,12.12,33.33,0.68
"Influencers",2,16.7,"Decision_Actors","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",33,12,5918,6.06,16.67,0.34
"Information",2,16.7,"Participation_Levels","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",33,12,5918,6.06,16.67,0.34
"Consultation",3,25,"Participation_Levels","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",33,12,5918,9.09,25,0.51
"Collaboration",3,25,"Participation_Levels","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",33,12,5918,9.09,25,0.51
"Co-decision",1,8.3,"Participation_Levels","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",33,12,5918,3.03,8.33,0.17
"Empowerment",3,25,"Participation_Levels","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",33,12,5918,9.09,25,0.51
"Social",2,28.6,"Challenges","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",33,7,5918,6.06,28.57,0.34
"Social",2,28.6,"Challenges","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",33,7,5918,6.06,28.57,0.34
"Social",2,28.6,"Challenges","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",33,7,5918,6.06,28.57,0.34
"Methodological",1,14.3,"Challenges","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",33,7,5918,3.03,14.29,0.17
