"category","matches","percentage","module","article","total_matches_article","module_total","total_words","prop_article","prop_module","matches_per_1000w"
"Deep uncertainty",52,39.7,"Uncertainty_Types","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",201,131,6468,25.87,39.69,8.04
"Epistemic",79,60.3,"Uncertainty_Types","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",201,131,6468,39.3,60.31,12.21
"Injectors",20,39.2,"Decision_Actors","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",201,51,6468,9.95,39.22,3.09
"Beneficiaries",14,27.5,"Decision_Actors","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",201,51,6468,6.97,27.45,2.16
"Affected",9,17.6,"Decision_Actors","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",201,51,6468,4.48,17.65,1.39
"Regulators",3,5.9,"Decision_Actors","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",201,51,6468,1.49,5.88,0.46
"Influencers",5,9.8,"Decision_Actors","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",201,51,6468,2.49,9.8,0.77
"Information",5,31.2,"Participation_Levels","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",201,16,6468,2.49,31.25,0.77
"Consultation",3,18.8,"Participation_Levels","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",201,16,6468,1.49,18.75,0.46
"Collaboration",2,12.5,"Participation_Levels","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",201,16,6468,1,12.5,0.31
"Empowerment",6,37.5,"Participation_Levels","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",201,16,6468,2.99,37.5,0.93
"Methodological",3,100,"Challenges","A general methodology for adaptative planning of urban water systems under deep uncertainty.pdf",201,3,6468,1.49,100,0.46
"Epistemic",2,100,"Uncertainty_Types","A Green Costa Rican COVID-19 Recovery.pdf",523,2,24271,0.38,100,0.08
"Extractors",3,0.7,"Decision_Actors","A Green Costa Rican COVID-19 Recovery.pdf",523,402,24271,0.57,0.75,0.12
"Injectors",27,6.7,"Decision_Actors","A Green Costa Rican COVID-19 Recovery.pdf",523,402,24271,5.16,6.72,1.11
"Beneficiaries",103,25.6,"Decision_Actors","A Green Costa Rican COVID-19 Recovery.pdf",523,402,24271,19.69,25.62,4.24
"Affected",50,12.4,"Decision_Actors","A Green Costa Rican COVID-19 Recovery.pdf",523,402,24271,9.56,12.44,2.06
"Regulators",166,41.3,"Decision_Actors","A Green Costa Rican COVID-19 Recovery.pdf",523,402,24271,31.74,41.29,6.84
"Influencers",53,13.2,"Decision_Actors","A Green Costa Rican COVID-19 Recovery.pdf",523,402,24271,10.13,13.18,2.18
"Information",67,69.1,"Participation_Levels","A Green Costa Rican COVID-19 Recovery.pdf",523,97,24271,12.81,69.07,2.76
"Consultation",7,7.2,"Participation_Levels","A Green Costa Rican COVID-19 Recovery.pdf",523,97,24271,1.34,7.22,0.29
"Collaboration",17,17.5,"Participation_Levels","A Green Costa Rican COVID-19 Recovery.pdf",523,97,24271,3.25,17.53,0.7
"Empowerment",6,6.2,"Participation_Levels","A Green Costa Rican COVID-19 Recovery.pdf",523,97,24271,1.15,6.19,0.25
"Institutional",4,18.2,"Challenges","A Green Costa Rican COVID-19 Recovery.pdf",523,22,24271,0.76,18.18,0.16
"Institutional",4,18.2,"Challenges","A Green Costa Rican COVID-19 Recovery.pdf",523,22,24271,0.76,18.18,0.16
"Institutional",4,18.2,"Challenges","A Green Costa Rican COVID-19 Recovery.pdf",523,22,24271,0.76,18.18,0.16
"Methodological",10,45.5,"Challenges","A Green Costa Rican COVID-19 Recovery.pdf",523,22,24271,1.91,45.45,0.41
"Epistemic",7,100,"Uncertainty_Types","A multi-objective model for sustainable reverse.pdf",72,7,3255,9.72,100,2.15
"Affected",5,17.2,"Decision_Actors","A multi-objective model for sustainable reverse.pdf",72,29,3255,6.94,17.24,1.54
"Regulators",20,69,"Decision_Actors","A multi-objective model for sustainable reverse.pdf",72,29,3255,27.78,68.97,6.14
"Influencers",4,13.8,"Decision_Actors","A multi-objective model for sustainable reverse.pdf",72,29,3255,5.56,13.79,1.23
"Information",6,100,"Participation_Levels","A multi-objective model for sustainable reverse.pdf",72,6,3255,8.33,100,1.84
"Institutional",10,33.3,"Challenges","A multi-objective model for sustainable reverse.pdf",72,30,3255,13.89,33.33,3.07
"Institutional",10,33.3,"Challenges","A multi-objective model for sustainable reverse.pdf",72,30,3255,13.89,33.33,3.07
"Institutional",10,33.3,"Challenges","A multi-objective model for sustainable reverse.pdf",72,30,3255,13.89,33.33,3.07
"Epistemic",40,100,"Uncertainty_Types","A multi-objective solution approach for the design of a sustainable and robust.pdf",93,40,10445,43.01,100,3.83
"Injectors",4,11.4,"Decision_Actors","A multi-objective solution approach for the design of a sustainable and robust.pdf",93,35,10445,4.3,11.43,0.38
"Beneficiaries",14,40,"Decision_Actors","A multi-objective solution approach for the design of a sustainable and robust.pdf",93,35,10445,15.05,40,1.34
"Affected",5,14.3,"Decision_Actors","A multi-objective solution approach for the design of a sustainable and robust.pdf",93,35,10445,5.38,14.29,0.48
"Regulators",6,17.1,"Decision_Actors","A multi-objective solution approach for the design of a sustainable and robust.pdf",93,35,10445,6.45,17.14,0.57
"Influencers",6,17.1,"Decision_Actors","A multi-objective solution approach for the design of a sustainable and robust.pdf",93,35,10445,6.45,17.14,0.57
